UniProt ID	Drug ID
O76054	DB03796
P15291	DB02696
P49902	DB00811
P35354	DB00159
P29474	DB00155
Q04771	DB08597
P08473	DB00886
P00915	DB00273
P13995	DB00157
Q08828	DB00171
P00797	DB00350
P14207	DB05168
Q16773	DB02142
P07766	DB06607
P01008	DB00569
P55011	DB00761
Q99624	DB00174
P05089	DB01983
P08913	DB00248
Q5T1J1	DB00704
P08908	DB00246
P34897	DB00116
P30518	DB00067
Q00796	DB04478
Q02641	DB00381
Q16795	DB03147
P00480	DB00155
P16050	DB08492
P46098	DB00334
P10828	DB00451
P21549	DB00133
Q99714	DB02820
Q8IVH4	DB00200
P00918	DB00273
P35520	DB00118
P04818	DB00322
P23921	DB00441
P08620	DB01109
P49286	DB01065
Q16798	DB03680
P28845	DB02329
P00374	DB00205
P34896	DB00116
P08709	DB00100
P00395	DB04464
P02766	DB09130
Q9UDX4	DB14001
P18825	DB00248
P05093	DB00396
P16471	DB01185
P39086	DB06354
P50440	DB00145
P20648	DB00338
Q9NR19	DB00171
P19801	DB01373
P0DMS8	DB00640
Q96I99	DB12695
O00555	DB00836
P63098	DB11693
Q9UM73	DB08865
P08319	DB03559
P00740	DB00170
Q05586	DB00454
P43116	DB00917
P35968	DB01268
Q969G6	DB03247
Q14749	DB00145
Q9UKG9	DB02648
Q06203	DB01033
P48029	DB13191
Q16836	DB03059
Q99259	DB00142
P04070	DB00464
P47869	DB00241
Q02127	DB01117
P00505	DB00128
P25103	DB00673
P48551	DB00011
P23945	DB00066
Q9GZT4	DB00133
P21917	DB00248
Q16719	DB00160
P41595	DB00247
P08246	DB00099
Q8TE23	DB02772
O15399	DB00454
P26440	DB04036
P02794	DB01592
P00325	DB01213
P32238	DB04856
P38435	DB00055
P11926	DB00127
P08173	DB00334
P50416	DB01016
Q00266	DB03191
P51659	DB03192
P13196	DB00145
P17540	DB13191
Q9GZZ6	DB00202
P19793	DB00210
O75311	DB00431
O15554	DB00257
Q13224	DB00454
P0DP23	DB00527
P55017	DB00524
P41143	DB00295
P04083	DB00591
P04181	DB00129
P00338	DB02483
P22303	DB00382
P31749	DB01169
Q13936	DB00308
P30988	DB01278
P23415	DB00431
P42684	DB01254
Q14432	DB00261
Q96Q40	DB06486
P08514	DB00775
O15269	DB00133
P35367	DB00245
P29466	DB01017
Q96A70	DB00125
P28223	DB00247
P30872	DB06663
P10721	DB00619
Q14957	DB00145
P32754	DB02850
P22413	DB01143
P30939	DB00247
Q9H252	DB01110
P00326	DB01213
O60706	DB01016
P31644	DB00241
Q96P88	DB00666
P43119	DB01088
P28566	DB00246
Q16739	DB09039
P48169	DB00241
Q03154	DB06151
Q8IYQ7	DB00156
O43497	DB00568
P30049	DB00753
P23975	DB00191
Q07343	DB00201
Q9Y5K3	DB14006
P51172	DB00594
P43155	DB01992
P51170	DB00594
P35348	DB00246
Q13621	DB00232
P03886	DB01028
P07202	DB00509
P41180	DB00994
P02787	DB00677
P04626	DB01259
O94788	DB00162
P48039	DB01065
P20701	DB00098
P54687	DB00142
O75600	DB00145
P04424	DB02267
P25101	DB00945
P34903	DB00241
Q12797	DB00139
P17174	DB00128
P02768	DB00493
P28335	DB00246
O60391	DB00145
P22748	DB00273
P02671	DB00015
P18405	DB01126
P09417	DB03814
P04406	DB02059
P05166	DB00161
P09884	DB00631
Q12791	DB00436
P00352	DB00162
P16066	DB00727
P06401	DB00304
P08172	DB00246
P52569	DB00129
P14778	DB05207
Q9NWM0	DB04188
Q14353	DB00536
Q04609	DB00142
Q16878	DB00157
Q92781	DB00162
P18089	DB00248
P45954	DB00313
P04035	DB00175
P35368	DB00246
Q14534	DB00857
Q92506	DB03461
P35462	DB00248
P47895	DB00162
P31213	DB01126
P30519	DB04912
P40925	DB03461
P13612	DB04997
P42330	DB00328
P30043	DB00157
P12235	DB00720
Q9UP95	DB00887
Q9Y617	DB00142
P48163	DB03461
Q9UKU7	DB03147
P48507	DB00151
P43088	DB00654
P07101	DB00135
P49585	DB14006
P01619	DB09130
P11586	DB00157
P52895	DB01586
P18031	DB01734
Q02643	DB08869
P15509	DB05194
P68871	DB01593
Q9Y233	DB01113
P41145	DB00289
P15056	DB05190
Q8TDS4	DB00627
P30085	DB03403
P33121	DB00171
P42261	DB00228
Q8TCU5	DB00392
P08253	DB01197
P48048	DB00222
O60701	DB09130
Q01959	DB00191
P00390	DB00157
P34969	DB00246
P14784	DB00041
P41439	DB05168
P19235	DB00016
P47712	DB00721
P01589	DB00041
P28221	DB00246
O15270	DB00133
P17181	DB00011
P10276	DB00459
P36896	DB12010
Q9NYX4	DB00714
P24298	DB00142
P08235	DB00396
P53985	DB09338
P00966	DB00128
P51787	DB04855
P20138	DB06318
Q13131	DB00171
Q06432	DB00343
Q9Y257	DB00908
P16233	DB02451
P04278	DB00255
P10827	DB00451
P05230	DB01025
P54289	DB00270
P17735	DB00120
P14902	DB09061
P07550	DB00195
P62942	DB00864
P11498	DB00121
Q9NS40	DB01110
Q05932	DB00293
O00763	DB00173
O95342	DB00845
P01375	DB00051
Q9Y271	DB00549
Q13946	DB07954
P48443	DB00307
Q14654	DB00308
P12314	DB00005
Q9BQB6	DB00266
P06732	DB02490
P25100	DB00248
Q03405	DB00013
P06729	DB06371
O14556	DB01593
O15382	DB00142
P12268	DB00688
P02818	DB01022
Q8N5Z0	DB00142
Q96C36	DB00172
P15538	DB01011
P05023	DB00511
Q99707	DB00116
P09601	DB01942
P30536	DB00231
P09622	DB03147
Q15822	DB00411
P21817	DB01219
P11388	DB00276
P23416	DB00431
Q9NUB1	DB00171
P15121	DB00157
P21802	DB01041
P31645	DB00182
P19634	DB02624
P00439	DB00360
P49448	DB00157
P14416	DB00246
P78540	DB00129
P21731	DB06739
Q12879	DB00145
P20839	DB00688
P16219	DB03059
Q9UBK8	DB00134
Q16445	DB00241
P51788	DB05514
O94760	DB00213
P00533	DB00072
P35372	DB00295
P51553	DB06757
Q07912	DB04367
P47901	DB00067
P05546	DB01593
P14324	DB00399
P22033	DB00200
P11473	DB00146
P40926	DB04272
Q09470	DB00321
P33527	DB01138
Q5T6L4	DB00155
Q9UHI5	DB00160
P32929	DB00151
Q92731	DB00286
Q99062	DB00099
P04150	DB00223
P14867	DB00241
P28222	DB00246
P09488	DB00608
Q9Y2Q3	DB04700
Q16772	DB04521
Q03013	DB03003
P09211	DB00197
P07203	DB09061
O43708	DB04447
O95954	DB00116
Q13255	DB04256
Q13002	DB00237
P42262	DB00237
P48058	DB00898
P42263	DB00898
P49019	DB08949
O43451	DB00491
P12931	DB01678
P06241	DB02078
P07947	DB12010
P29317	DB04395
P06239	DB01830
P30559	DB01282
Q93088	DB02337
P42081	DB01281
P33681	DB04901
Q01718	DB01285
P43681	DB00237
P17787	DB00333
P16234	DB00619
P07333	DB01268
P27487	DB01261
P01031	DB01257
O60664	DB01279
P43220	DB01276
P08069	DB00046
O95180	DB00568
P11086	DB03468
Q7Z4W1	DB02831
Q02750	DB03115
Q14289	DB01645
P05771	DB01738
Q16850	DB01167
P10253	DB00491
P02741	DB05744
P37840	DB09130
Q9NSA0	DB01032
P29972	DB02451
P22102	DB02236
Q99584	DB01025
Q06520	DB02854
O60427	DB00159
Q00535	DB02116
P26358	DB00928
P00749	DB01725
P10696	DB01143
O43526	DB00939
P22557	DB00145
O75015	DB00005
P20810	DB11638
P35558	DB02008
P30044	DB03608
P12724	DB02098
P35270	DB03461
P01023	DB00515
P51681	DB05501
P05451	DB04522
P08581	DB06314
P11217	DB01823
P62993	DB03276
P05231	DB05017
P61073	DB05501
P03956	DB07556
P02652	DB09130
P28482	DB01169
P29274	DB00277
P02763	DB00281
P50225	DB04417
P25116	DB05361
P27169	DB01593
P02778	DB06116
Q9UKL6	DB04372
P00156	DB04799
P07858	DB02148
P07339	DB02216
P98164	DB00071
P07225	DB00170
P01579	DB01296
P50406	DB00321
P02775	DB09130
P01189	DB01497
P20333	DB11626
P34913	DB03677
P49888	DB01812
P01009	DB01998
P01133	DB04454
P27986	DB05210
O75469	DB00239
P06730	DB01960
P16220	DB01183
P49327	DB01083
Q12882	DB02338
P10145	DB05484
Q04760	DB00328
O95831	DB05282
P45452	DB01996
P10646	DB06779
Q9Y5N1	DB01238
P05120	DB00031
P17936	DB01277
P11387	DB01030
P17405	DB00477
P13501	DB02353
P04062	DB03740
P16860	DB06412
P29460	DB05459
Q9BYF1	DB01611
O14732	DB14507
P01137	DB01162
P32418	DB00159
P56817	DB06073
O14965	DB05169
Q7L0J3	DB05541
P02788	DB03017
O60488	DB00197
P20594	DB04899
Q9Y275	DB04272
Q16853	DB01275
Q00987	DB02872
Q9Y6L6	DB01241
P31930	DB04741
Q03181	DB00159
P47929	DB02678
P99999	DB02110
P08311	DB04016
P27824	DB00031
P13945	DB00571
P62937	DB00172
P09038	DB00686
Q13464	DB07876
P01042	DB09130
P46059	DB00417
Q16539	DB01761
P03951	DB06404
Q8NER1	DB00159
P63316	DB00922
P07359	DB05202
P06850	DB02556
P24385	DB01169
P48549	DB00898
P60568	DB01327
P48051	DB01159
P08183	DB00603
P21980	DB11254
P26951	DB14731
P23946	DB03814
P04629	DB00619
P05412	DB00570
O94956	DB05521
P04275	DB05202
Q96RJ0	DB01255
P13500	DB01406
P01584	DB01017
P43005	DB00142
P30793	DB02377
P35557	DB07358
P11166	DB11059
Q13231	DB03109
P01019	DB09130
P27361	DB01169
O60858	DB01548
P49841	DB01772
Q4U2R8	DB01032
Q9UNQ0	DB11995
P04004	DB01593
Q92887	DB01138
P24941	DB02010
P16118	DB02515
P16581	DB03721
P05164	DB00535
P01112	DB03226
P15144	DB06196
P06493	DB02116
P80188	DB01672
P05362	DB08818
P19838	DB01041
P00750	DB01088
P11413	DB03461
P06870	DB03127
Q9UM07	DB00207
P01138	DB05892
P53779	DB02388
P11021	DB00945
P11137	DB01229
P15309	DB03577
P06881	DB12228
O43519	DB05014
P19367	DB02379
P63000	DB04315
Q16678	DB02342
P16070	DB08818
P19320	DB01136
P08254	DB01877
Q16873	DB00972
P02649	DB09130
P07900	DB00716
P14210	DB02264
O75762	DB01744
P16870	DB00071
Q08345	DB12010
P08697	DB09130
Q13126	DB02158
P02776	DB01109
P17252	DB00163
P27815	DB00651
Q16348	DB00493
P19438	DB11626
P00450	DB01373
P53609	DB07841
Q15858	DB00909
P16455	DB01593
P48061	DB06822
P07204	DB01050
P29218	DB03542
P07686	DB02813
O14920	DB00795
P05106	DB00063
P98170	DB04209
P32239	DB08862
P16109	DB03721
Q9UNN8	DB04327
P42574	DB01017
O60603	DB00210
P14625	DB02103
O60760	DB00755
P07355	DB00591
Q9NR96	DB01611
P31751	DB07859
P00167	DB11136
P14410	DB00747
P04271	DB01373
P13726	DB06552
P02751	DB06245
P03950	DB04272
P22894	DB02326
P14735	DB00626
P15559	DB00266
Q08257	DB03461
Q7Z2W7	DB01744
P28161	DB02458
P41594	DB05070
O15530	DB01863
P13569	DB00887
P25942	DB12589
P08842	DB02735
P39900	DB00786
P06744	DB02076
P08100	DB01646
P22455	DB01109
Q99808	DB00898
P33316	DB04685
P80511	DB01025
P04040	DB09061
P05113	DB06602
P68400	DB01765
P02743	DB01651
Q96C86	DB01960
P23919	DB03150
Q13370	DB01640
P31939	DB00563
Q10588	DB02701
Q9P2W7	DB03435
O75874	DB03461
P04183	DB02452
O00204	DB02789
Q08188	DB01972
P68363	DB03010
P11309	DB01754
Q06187	DB01863
Q08499	DB00651
P10153	DB02098
P43403	DB12010
P48736	DB02375
P43405	DB06834
Q9BWD1	DB01992
Q71U36	DB00570
Q08881	DB06589
P17931	DB04465
P41240	DB02010
Q9NY65	DB03010
P68371	DB00643
P49137	DB07234
Q04759	DB02482
Q9BQE3	DB03010
P68366	DB01179
P30405	DB00172
P04350	DB03010
Q9UKM7	DB02422
Q13509	DB03010
P08631	DB01962
Q13748	DB03010
Q16222	DB03397
P17900	DB02325
P36873	DB02860
P48449	DB03696
P49773	DB01972
P20231	DB04654
Q9BZX2	DB02431
Q9UBX1	DB01871
Q00169	DB03690
Q9NPB1	DB04672
Q14376	DB02196
P09871	DB00005
P50579	DB01422
Q9Y663	DB02264
P46926	DB02445
P35030	DB02541
P55055	DB03848
Q9BY41	DB01593
P23677	DB03401
P06132	DB04461
P51512	DB03880
P14555	DB01381
P25774	DB03837
O43570	DB00774
Q9Y5Y6	DB03127
P04745	DB03088
P09960	DB02062
P04075	DB02512
P23526	DB03216
P49789	DB04173
P00751	DB02459
P51151	DB04315
P09874	DB01593
P07477	DB01705
P11310	DB03147
Q8WVQ1	DB03754
P42126	DB03127
P53355	DB04395
Q96RI1	DB01586
Q9HAN9	DB04099
P49759	DB06376
Q16775	DB03889
P55210	DB05408
Q96T66	DB03227
P00746	DB04459
P10114	DB04315
P52732	DB04331
Q9NZD2	DB03203
P14174	DB02728
P37173	DB10770
O94766	DB03435
Q05315	DB02983
P24557	DB01207
P08238	DB02754
O60911	DB04451
P50613	DB03496
Q92947	DB03245
Q9BW91	DB04352
P51161	DB02691
P32119	DB04048
Q16881	DB02338
Q99250	DB00252
Q9NY46	DB00909
P35499	DB00818
Q9UQD0	DB05232
O00408	DB05142
P62508	DB00255
P21964	DB00323
P11511	DB00357
P02675	DB11300
P02679	DB11571
P00736	DB00005
P02745	DB00005
P02746	DB00005
P02747	DB00005
P08637	DB00005
P12318	DB00005
P31994	DB00005
P31995	DB00005
P68133	DB02772
P31785	DB00041
P05452	DB06245
P05787	DB06245
P27797	DB00031
Q07954	DB00031
P05154	DB00055
P13727	DB06752
P32927	DB05264
O14832	DB00126
P07307	DB13998
P49257	DB13998
Q8NI22	DB13998
P06400	DB00071
P05981	DB00522
O14786	DB04895
P11362	DB00398
P22607	DB05014
O95838	DB08900
P07711	DB07477
Q96LZ3	DB11693
P09486	DB11348
P35346	DB04894
P48147	DB03382
O94903	DB00172
P11216	DB03496
P20711	DB00190
Q2TU84	DB00128
Q53ET4	DB00116
Q6YP21	DB00142
Q8IUZ5	DB00160
Q8TD30	DB00142
Q9UGI5	DB00780
Q9Y4U1	DB00200
P42898	DB00116
O14939	DB14006
P06276	DB00382
Q13393	DB05301
Q8TCT1	DB14006
P09210	DB00608
O00519	DB02465
O60568	DB00139
P27338	DB00191
O75936	DB00139
P21397	DB00752
P19021	DB02598
Q9HBH1	DB04368
Q32P28	DB00139
P47989	DB00583
Q8IVL5	DB00139
P50750	DB06195
Q8IVL6	DB00139
Q96KS0	DB04847
Q00534	DB07379
P00813	DB00975
P11802	DB03496
Q9GZT9	DB01592
Q9H6Z9	DB04847
Q9NVH6	DB00139
Q00975	DB00661
P27708	DB03459
P30520	DB05540
Q7L266	DB00174
Q8N142	DB02109
P15104	DB00142
Q9GZR5	DB09568
O14521	DB00756
O15460	DB00172
P21912	DB04141
P55809	DB02731
Q99643	DB04141
P08263	DB01915
P23434	DB03760
Q14330	DB09061
P23743	DB14001
P62714	DB14001
P67775	DB02506
P23284	DB04447
O75899	DB02530
P36544	DB00184
Q9UGM1	DB00674
P18505	DB00431
P28472	DB00431
P47870	DB00395
P20618	DB08515
P28074	DB08515
P49721	DB08889
Q08493	DB01088
Q08289	DB00393
Q13698	DB00393
O00305	DB01388
O60840	DB00568
P54284	DB01388
Q01668	DB00393
P20815	DB14011
P10635	DB11994
P16435	DB03247
Q13547	DB01593
Q92769	DB00227
O15379	DB05223
Q9UBN7	DB05223
Q2M3G0	DB14067
P10092	DB14040
P29371	DB06429
P49356	DB04960
P49354	DB06448
Q16665	DB01275
P43115	DB00917
P51800	DB09295
P41146	DB01497
P42336	DB00201
P20292	DB05225
O00459	DB05210
Q92569	DB05210
P78527	DB05210
P42345	DB00877
Q00653	DB05212
A6PZ59	DB11597
P00441	DB01064
Q9Y6K9	DB05289
Q9NY47	DB00996
P09958	DB04951
O43525	DB00939
P56696	DB06089
Q9NR82	DB04953
P41231	DB04983
P08865	DB09130
O00329	DB05241
P42338	DB05241
O60674	DB05243
Q13093	DB07821
P07949	DB01809
Q06609	DB12742
P43490	DB12731
Q05655	DB05013
P50391	DB05045
P49146	DB05004
P24394	DB12159
Q02880	DB00694
P09467	DB02778
Q9H228	DB12371
P05177	DB07453
P50135	DB01752
Q16790	DB00774
P35225	DB11914
P03952	DB05311
Q15842	DB00922
O00206	DB01183
P16422	DB05831
Q01726	DB05479
O14746	DB05036
P31350	DB05003
P54760	DB07249
P05155	DB09130
P08729	DB04959
Q5T4S7	DB05483
Q96EB6	DB13978
P07237	DB03615
P21796	DB09061
P45880	DB06098
Q9Y277	DB06098
Q15185	DB05036
Q16498	DB05386
P22301	DB05771
Q9NWT6	DB08263
O14717	DB01752
P08684	DB00951
P04746	DB01922
O14936	DB12010
Q9NQX3	DB03366
Q99418	DB01942
Q92831	DB08186
P23141	DB00454
P53778	DB04395
P11712	DB11994
P27707	DB02594
P01857	DB03740
O00244	DB02772
P08048	DB05483
P02749	DB09130
P25311	DB09130
P08887	DB11767
P10632	DB03796
P06703	DB11348
Q96CD2	DB03738
P16152	DB02709
Q05397	DB07248
O43252	DB03708
P15531	DB02181
Q12756	DB04395
Q16698	DB08605
O76083	DB07954
Q96FI4	DB03754
O43617	DB08231
P15289	DB03821
Q9Y691	DB03861
Q9Y3R4	DB00558
P12429	DB03994
P15086	DB04723
P07360	DB03017
O60547	DB04315
P01270	DB05883
P07998	DB00536
Q01064	DB01023
Q16769	DB04622
P78368	DB03693
P30291	DB07006
P11509	DB07609
P07384	DB04653
Q13285	DB04752
Q9NXA8	DB02701
P48357	DB09046
Q02763	DB05294
P04637	DB01593
O96017	DB06486
O14757	DB06486
Q92847	DB13074
P00403	DB04464
P41597	DB05159
Q15759	DB08896
O15264	DB12010
P05067	DB01370
Q8IW54	DB09273
P23560	DB09130
Q5NUL3	DB05793
Q13885	DB12695
Q9BVA1	DB07574
Q9BUF5	DB11638
P33151	DB05685
Q96GD4	DB05169
P15328	DB05168
Q96IY4	DB11311
O15392	DB04115
Q9GZP0	DB05465
P26010	DB09033
Q9NPF7	DB11834
Q8NET8	DB01744
P43235	DB02679
P05019	DB02643
P55786	DB11781
P10644	DB02315
P50052	DB05739
P09429	DB05869
Q13233	DB11967
Q02156	DB12010
P04792	DB11638
O14763	DB06599
Q15116	DB09035
Q693P7	DB00202
P40238	DB05930
Q9NZQ7	DB11714
Q99527	DB01645
P02647	DB09130
P01024	DB01593
P04234	DB09052
P25963	DB05983
P10636	DB00637
P27816	DB01248
P01303	DB02952
P28908	DB08870
O43174	DB13083
P04439	DB06226
P04439	DB11294
P01730	DB06241
Q9NPC1	DB12961
Q15722	DB09285
P01308	DB01776
P52333	DB06321
P15391	DB09052
P15169	DB12271
P22792	DB12271
Q16706	DB02318
Q03431	DB05829
Q07817	DB09401
P30411	DB06196
O14788	DB06511
Q9NR97	DB06530
O43193	DB06587
P35408	DB00929
P56524	DB06176
P30874	DB04894
P32745	DB09099
P17538	DB01704
P33261	DB12319
O60656	DB04824
Q06278	DB03516
P55263	DB07173
P19099	DB11837
P04798	DB12379
P20813	DB04664
P18545	DB00862
Q13956	DB00862
P52209	DB00851
Q8N8N7	DB07177
Q9Y5Y4	DB00605
Q8IZS8	DB06712
P54750	DB01023
P02585	DB01373
Q13332	DB01077
P38606	DB01077
O95749	DB02552
P06756	DB00451
P33402	DB01020
Q9Y2I1	DB08838
O14649	DB01159
Q9NPC2	DB01159
P30926	DB00472
P32297	DB00333
P30532	DB00674
Q15825	DB00674
Q05901	DB00674
P12104	DB09213
P18507	DB00395
Q8N1C3	DB00546
Q99928	DB00546
P78334	DB00546
O00591	DB00546
Q9UN88	DB00690
P28476	DB00546
O14764	DB00546
P29034	DB01373
Q9NZV8	DB00458
Q9UK17	DB00458
Q16620	DB11823
P51857	DB01216
P24462	DB14011
A8MPY1	DB00546
P07098	DB02457
P11717	DB02900
P07451	DB00311
P35218	DB01194
Q9Y2D0	DB08846
P23280	DB06795
P43166	DB00703
Q8N1Q1	DB07115
Q9ULX7	DB00909
Q07699	DB00909
O15440	DB14635
Q8TCC7	DB01032
Q9NPD5	DB01241
P19652	DB00281
P09238	DB08271
P09237	DB08170
P24347	DB04318
O60882	DB08271
P35869	DB00379
P11474	DB00255
Q15788	DB04652
Q9UNA0	DB06837
P63092	DB06843
Q08462	DB06843
O95622	DB06843
P20248	DB02407
Q15661	DB06849
Q13526	DB06867
Q15596	DB01645
P53350	DB06963
Q13362	DB06905
P30153	DB06905
P61626	DB02159
P15085	DB02652
P78536	DB07079
P31151	DB01593
Q9UNI1	DB02114
P17612	DB01940
P61925	DB04707
Q9UJM8	DB02279
P63208	DB06980
Q9NZK7	DB01955
P23467	DB07068
P13051	DB07116
P45984	DB12010
P11142	DB07045
P61769	DB04464
O60551	DB02271
Q13133	DB07929
P36897	DB04434
P24666	DB04214
O43293	DB07125
Q9UQF2	DB07218
P45983	DB01782
P33981	DB12010
Q13554	DB12010
Q8TF76	DB07698
Q14914	DB04066
P51955	DB12010
Q9UGN5	DB09074
P01859	DB04688
P21281	DB07347
P84077	DB04121
Q15078	DB07364
Q96L21	DB07374
P40429	DB07374
P62829	DB07374
P61313	DB07374
P84098	DB07374
P62750	DB07374
Q9UHA3	DB07374
Q9UNX3	DB07374
P62917	DB07374
P61927	DB04602
P39023	DB04865
P62913	DB07374
P55769	DB07374
P01834	DB04688
P06310	DB07375
O75460	DB12010
P25705	DB07384
P06576	DB07384
P36542	DB07384
P60174	DB01695
Q14994	DB00737
P08574	DB04799
P22695	DB04799
P07919	DB04799
O14949	DB04799
P47985	DB04799
O14957	DB07401
P14927	DB04799
Q9UDW1	DB04799
Q15118	DB08809
Q9UBT6	DB07652
Q9UKQ2	DB02215
P28838	DB07448
Q16134	DB04141
O14983	DB04444
P41743	DB12010
Q7Z406	DB03126
P04118	DB04233
P25788	DB12695
O14818	DB08515
Q16877	DB04493
P11488	DB04315
P09466	DB03796
Q9Y6M4	DB07488
Q494W8	DB07720
P09668	DB03120
P0CG22	DB03461
P19784	DB12010
P13073	DB04464
P00414	DB04464
P20674	DB04464
P10606	DB04464
P09669	DB04464
P24311	DB04464
P15954	DB04464
P10176	DB04464
Q02221	DB04464
P14854	DB04464
P24310	DB04464
P04054	DB00972
Q86XF0	DB01958
Q9H169	DB07574
Q13627	DB12010
P41235	DB05447
Q9UNK4	DB03193
Q9Y6Y9	DB02767
Q9H2G2	DB07853
Q16566	DB07676
P49761	DB08691
Q9Y6F1	DB08058
Q7Z2Z2	DB03619
Q16644	DB08358
P01116	DB07780
Q92696	DB07780
P53611	DB07780
Q9UQM7	DB04447
Q00536	DB12010
P03989	DB11294
Q6P093	DB07815
O00141	DB07837
Q13557	DB08039
Q9P289	DB12010
Q6UWM7	DB02379
P53582	DB07901
P07737	DB11638
Q15067	DB07930
Q15375	DB12010
P14920	DB02988
P23458	DB04716
P29597	DB08895
Q96NX5	DB12010
P08758	DB02497
Q6NUS8	DB04216
P06396	DB02621
P02689	DB03796
P23528	DB09130
O75116	DB08756
P06731	DB08217
P62330	DB04315
P15151	DB08231
O15143	DB08236
P61160	DB08236
P61158	DB08236
O15144	DB08236
O15145	DB08236
P59998	DB08236
O15511	DB08236
P23083	DB08294
P04211	DB08295
Q12866	DB12010
Q15418	DB12010
P13639	DB03223
Q16654	DB08356
P35080	DB02580
P01768	DB08635
P05187	DB08413
P07948	DB03023
Q8WX39	DB02924
P78362	DB02733
Q8IU85	DB12010
O94768	DB12010
Q15120	DB03760
P09848	DB02471
Q9NWZ3	DB12010
Q15119	DB08609
P26447	DB09130
P14550	DB03461
O60218	DB02021
Q13555	DB08699
P80192	DB12010
O43739	DB03344
P62312	DB03685
Q9Y6I3	DB03401
P04179	DB04436
P00558	DB04510
P19961	DB02218
O75390	DB01992
P13929	DB01819
P36871	DB04397
P15259	DB04510
P29508	DB04522
P02144	DB01826
P08670	DB12695
P22694	DB12010
P07108	DB03381
P54819	DB03366
Q92930	DB04315
P22570	DB03461
P11226	DB01979
P51178	DB03956
P63096	DB04444
Q701N4	DB03088
P09382	DB04396
P20645	DB02755
Q9NPH2	DB04516
P46976	DB03435
P30084	DB02910
Q7Z4J2	DB02379
P22459	DB06637
Q99798	DB03964
O14594	DB04396
P51003	DB02153
Q03393	DB03886
Q14643	DB09462
P78352	DB01972
P21283	DB09552
P48735	DB13874
P68104	DB04315
P07478	DB01973
P16930	DB01762
P20339	DB04137
P50897	DB03796
P49411	DB04315
P35398	DB04540
P29323	DB12010
Q9GZU7	DB04272
P61024	DB02681
P49368	DB11638
P62166	DB11348
P62491	DB04315
P05062	DB02515
Q96RQ9	DB03214
P62258	DB12695
P55072	DB12695
P22314	DB04216
Q86YB8	DB03147
Q92993	DB02039
O60264	DB02670
Q9NWZ5	DB03419
Q16613	DB02931
Q86VU5	DB03179
P78330	DB03292
Q9BZZ2	DB03721
Q01082	DB03401
Q15382	DB04315
Q13838	DB11638
Q9UQB9	DB12010
Q96PD5	DB09130
P60953	DB04315
Q96QT4	DB04447
Q9UBQ6	DB03397
Q9UL51	DB02527
Q9UL54	DB12010
Q6NXR0	DB04315
P36405	DB04315
O00142	DB02594
P30041	DB03814
O15111	DB00244
Q99835	DB06786
Q99456	DB11157
P02708	DB00674
P00748	DB06404
P54219	DB00368
P0C0L5	DB01593
P47898	DB00408
P01106	DB08813
P22460	DB06637
Q13882	DB12010
Q16832	DB12010
P42685	DB08896
P11274	DB01254
P36507	DB08911
Q9Y2U5	DB12010
P31639	DB08907
Q96SW2	DB01041
P57059	DB12010
Q8NG66	DB12010
P53667	DB12010
Q15303	DB12010
P04731	DB01593
P02795	DB14487
Q96S37	DB11560
P01903	DB11294
P79483	DB11294
P13762	DB11294
Q30154	DB11294
P04229	DB11294
Q30167	DB11294
P20039	DB11294
Q95IE3	DB11294
Q5Y7A7	DB11294
Q9GIY3	DB11294
P01911	DB11294
Q29974	DB11294
P01912	DB11294
P13760	DB11294
P13761	DB11294
Q30134	DB11294
Q9TQE0	DB11294
P14867	DB00189
P47869	DB00189
P34903	DB00189
P48169	DB00189
P31644	DB00189
Q16445	DB00189
P18505	DB00189
P47870	DB00189
P28472	DB00189
O14764	DB00189
P78334	DB00189
Q8N1C3	DB00189
P18507	DB00189
Q99928	DB00189
O00591	DB00189
Q9UN88	DB00189
P02786	DB15617
Q9UP52	DB15617
Q05586	DB01043
Q12879	DB01043
Q13224	DB01043
Q14957	DB01043
O15399	DB01043
Q8TCU5	DB01043
O60391	DB01043
P23415	DB05885
P48167	DB05885
P08908	DB01049
P28222	DB01049
P28221	DB01049
P28566	DB01049
P30939	DB01049
P28223	DB01049
P41595	DB01049
P28335	DB01049
P46098	DB01049
O95264	DB01049
Q8WXA8	DB01049
Q70Z44	DB01049
A5X5Y0	DB01049
Q13639	DB01049
P50406	DB01049
P34969	DB01049
P35348	DB00370
P35368	DB00370
P25100	DB00370
P08913	DB00217
P18089	DB00217
P18825	DB00217
P08588	DB00217
P07550	DB00217
P13945	DB00217
P51812	DB12010
P02763	DB01041
P19652	DB01041
P35348	DB00268
P35368	DB00268
P25100	DB00268
P08913	DB00268
P18089	DB00268
P18825	DB00268
P21728	DB00334
P21918	DB00334
P11229	DB00454
P08172	DB00454
P20309	DB00454
P08173	DB00454
P08912	DB00454
O00264	DB01104
Q99720	DB01104
P35498	DB00313
Q9Y5Y9	DB00313
Q9UI33	DB00313
Q99250	DB00313
Q9NY46	DB00313
P35499	DB00313
Q14524	DB00313
Q01118	DB00313
Q9UQD0	DB00313
Q15858	DB00313
Q07699	DB00313
O60939	DB00313
Q9NY72	DB00313
Q8IWT1	DB00313
Q06432	DB00421
Q9Y698	DB00421
O60359	DB00421
Q9UBN1	DB00421
Q9UF02	DB00421
Q9BXT2	DB00421
P62955	DB00421
Q8WXS5	DB00421
P54289	DB00421
Q9NY47	DB00421
